Text,Label
偶像是工作 渣男是生活 我 就 渣,11
,
,
就4好,11
,
我就省,11
,
我爛我驕傲,11
按讚的都是裸考king,11
,
我 就 嘴,11
我就卡,11
,
我就是爛 怎樣,11
我就是爛 怎樣？,11
我就逊，赞,11
我就暈船,11
當我進便利商店不付錢時 我就爛!,11
我就爛！,11
,
你好爛 我更爛,11
,
比 爛 有 餘 比 上 不 足,11
,
爛 的 恰 到 好 處,11
距離爛透指日可待,11
還 沒 爛 透,11
我 全 班 最 爛！,11
我 全 校 最 爛！,11
這 個 別 救 了 直 接 讓 他 爛 死,11
我 技 術 就 爛,11
一爛還有一案爛 花錢還是一樣爛,11
他的素質就是這麼爛 出社會遇到垃圾人,11
花錢繳補習費還是爛 去補習班幹嘛？,11
成績還是一樣爛 讀 了 書,11
"我被罷免
我就爛",11
,
我就不低碳,11
我就有對象,11
我就單身,11
,
我沒有看魷魚遊戲,11
我做的梗圖就是爛,11
"別怕人多斷線,現在排隊就好",11
大家一起爛,11
一定是大拇指！！,11
,
,
我就屯屯鼠!,11
我她媽就笨,11
你就爛！,11
我就廢,11
我就超可愛,11
嘿嘿你是不是以為我要寫我就爛 痾對我就爛,11
我就母湯！,11
我就雙標,11
,11
好事成雙 good Job,11
,
,
暴力是問題最好的解決辦法,11
這是我的第一百張梗圖，我不只創造了新的里程碑，也邁出了一大步，感謝一路上支持著我的你們，謝謝大家，我愛梗倉！,11
除了給「讚」，不知道該說什麼了 小馬哥只能說：,11
買模型車買到破產 我就爛,11
回到梗圖庫第一件事 當然是先給阿傑刷讚啦,11
,
,
祝各位教練 教師節快樂,11
好啦謝謝啦,11
,
你就強,11
,
"我就是冰淇淋！
放著不管就會爛",11
,
我就柒,11
我就帥,11
我就單身我就爛,11
我就沒買股票 當我看到股票大跌的新聞時,11
,
你就讚 幫我刷讚的那位小企鵝,11
我就粗俗,11
我就色,11
妳就爛,11
說得好,11
吃大便 讚,11
,
急需一個人幫忙刷讚,11
我就色!,11
我就壞!,11
我就有病！,11
我就龜毛！,11
,
我就俗辣,11
我就沒錢,11
,
,
我就不會回答,11
蜂蜜就是讚!,11
,
,
,
,
,
你就棒,11
我想不到要做什麼梗圖了!! 淦! 我就爛,11
,
,
眼鏡讚,11
當別人說他開學沒辦法做圖時 我就自由,11
當你看到這張梗圖的時候，你已經出生了同意的請點讚,11
,
希望大家可以多多按讚,11
,
感謝小企鵝,11
,
只要妳對這張梗圖按讚 ，我就會幫你的十張梗圖按讚,11
,
我就忘!,11
我就不會演戲！,11
我就懶,11
,
我就醜,11
我就泡槍,11
,
感謝您的支持,11
我就爛~咬我啊~,11
我就辱華！,11
,
我就窮,11
,
,
我贏了選舉！感謝各位的支持！ 敬請期待！,11
,
追蹤我拜託 祝你的梗圖都很優質,11
感謝觀看 生活愉快,11
我就特別!,11
,
,
"做完梗圖之後
第一件事就是幫自己按讚",11
,
因為你實在是太爛了 直到遇見你 我才知道這世界有多美好,11
開連點器的我比一個沒開的人點的還少 我真他媽爛,11
,
我就煩！,11
你還是很爛,11
我就雲,11
秒倒我就爛,11
,
計畫通！,11
你可以的!你超棒!,11
大家好棒棒,11
那女的是誰的梗圖會那麼讚,11
,
我就免費仔,11
還有什麼比這更棒 絕對是一根大拇指,11
就是他 還不帶口罩，等著罰錢吧！,11
我就爛 當淹水時 天氣,11
,
我就罔顧我就壞,11
,
讚哦!!!,11
我就忘了問,11
,
我就爛 想不到梗圖了,11
太好了！加速加速！,11
,
小戴第一啦！,11
我就暈,11
我就爛,11
,
我就霸!,11
巨蟹座就是渣！,11
我就韭菜!,11
我就辣死你,11
我就是韭菜,11
,
,
我他媽就爛⋯⋯ 還爛到不會做梗圖啦,11
,
我單身我驕傲,11
早安祝你有美好的一天,11
,
,1
我就偷電,11
,
我就賤,11
微鼓勵,11
大家一起爛死!,11
我就奴,11
爛到有剩 當有人問你你的人生過得如何時?,11
我就爛!,11
面對課金隊友，我就爛,11
